DATETIME,Q_G
1988-03-30 05:30:00,178350.552
1988-03-30 05:40:00,178728.864
1988-03-30 05:50:00,182462.208
1988-03-30 06:00:00,177223.032
1988-03-30 06:10:00,180657.552
1988-03-30 06:20:00,182803.272
1988-03-30 06:30:00,184105.584
1988-03-30 06:40:00,180444.816
1988-03-30 06:50:00,165469.91999999998
1988-03-30 07:00:00,181755.216
1988-03-30 07:10:00,181803.624
1988-03-30 07:20:00,183283.392
1988-03-30 07:30:00,178474.56
1988-03-30 07:40:00,172136.592
1988-03-30 07:50:00,182326.152
1988-03-30 08:00:00,181321.104
1988-03-30 08:10:00,180527.304
1988-03-30 08:20:00,179615.688
1988-03-30 08:30:00,180698.568
1988-03-30 08:40:00,181674.576
1988-03-30 08:50:00,177829.632
1988-03-30 09:00:00,180471.504
1988-03-30 09:10:00,180097.416
1988-03-30 09:20:00,182635.824
1988-03-30 09:30:00,182230.536
1988-03-30 09:40:00,179162.976
1988-03-30 09:50:00,183150.528
1988-03-30 10:00:00,183293.208
1988-03-30 10:10:00,181376.904
1988-03-30 10:20:00,176421.864
1988-03-30 10:30:00,180849.792
1988-03-30 10:40:00,182214.12
1988-03-30 10:50:00,183361.416
1988-03-30 11:00:00,182145.936
1988-03-30 11:10:00,180099.408
1988-03-30 11:20:00,180552.12
1988-03-30 11:30:00,183572.28
1988-03-30 11:40:00,183596.544
1988-03-30 11:50:00,184446.672
1988-03-30 12:00:00,184266.84
1988-03-30 12:10:00,183708.696
1988-03-30 12:20:00,179753.472
1988-03-30 12:30:00,174083.904
1988-03-30 12:40:00,172607.928
1988-03-30 12:50:00,182331.96
1988-03-30 13:00:00,184911.024
1988-03-30 13:10:00,183993.984
1988-03-30 13:20:00,182598.6
1988-03-30 13:30:00,183069.288
1988-03-30 13:40:00,183988.488
1988-04-09 10:00:00,186586.224
1988-04-09 10:10:00,189246.672
1988-04-09 10:20:00,189564.984
1988-04-09 10:30:00,189699.384
1988-04-09 10:40:00,189085.464
1988-04-09 10:50:00,188359.872
1988-04-09 11:00:00,188912.808
1988-04-09 11:10:00,188260.632
1988-04-09 11:20:00,187938.144
