,param_1,date,label
413,33.54,1606176000.0,1
414,40.85,1606262400.0,1
415,27.12,1607558400.0,1
416,28.62,1607644800.0,1
417,66.92,1608768000.0,1
418,46.37,1597104000.0,1
419,36.72,1597190400.0,1
420,41.78,1597276800.0,1
421,33.57,1597363200.0,1
422,29.09,1597449600.0,1
423,33.27,1597622400.0,1
424,40.73,1597708800.0,1
425,38.04,1597795200.0,1
426,39.46,1597881600.0,1
427,39.25,1597968000.0,1
428,38.02,1598054400.0,1
429,34.57,1598140800.0,1
430,34.59,1598227200.0,1
431,38.18,1598313600.0,1
432,39.62,1598400000.0,1
433,43.65,1598486400.0,1
434,42.37,1598572800.0,1
435,39.93,1598659200.0,1
436,40.01,1598745600.0,1
437,47.07,1598832000.0,1
438,34.44,1598918400.0,1
439,40.81,1599004800.0,1
440,39.07,1599091200.0,1
441,36.98,1599177600.0,1
442,41.27,1599264000.0,1
443,39.03,1599350400.0,1
444,32.36,1599436800.0,1
445,26.39,1599523200.0,1
446,27.04,1599609600.0,1
447,28.87,1599696000.0,1
448,25.73,1599782400.0,1
449,23.76,1599868800.0,1
450,30.98,1599955200.0,1
451,32.58,1600041600.0,1
452,34.13,1600128000.0,1
453,31.45,1600300800.0,1
454,36.32,1600387200.0,1
455,40.16,1600473600.0,1
456,39.39,1600560000.0,1
457,42.38,1600646400.0,1
458,47.9,1600732800.0,1
459,44.31,1600905600.0,1
460,53.61,1600992000.0,1
461,42.7,1601078400.0,1
462,50.3,1601164800.0,1
463,24.58,1601251200.0,1
464,37.68,1601337600.0,1
465,35.29,1601424000.0,1
466,27.2,1601510400.0,1
467,25.26,1601596800.0,1
468,34.22,1601683200.0,1
469,30.04,1601769600.0,1
470,24.49,1601942400.0,1
471,33.45,1602028800.0,1
472,35.05,1602115200.0,1
473,24.88,1602201600.0,1
474,29.89,1602288000.0,1
475,35.41,1602374400.0,1
476,32.65,1602460800.0,1
477,40.11,1602547200.0,1
478,31.22,1602633600.0,1
479,36.1,1602720000.0,1
480,32.98,1602806400.0,1
481,24.33,1602892800.0,1
482,34.62,1602979200.0,1
483,33.61,1603065600.0,1
484,40.15,1603152000.0,1
485,36.45,1603238400.0,1
486,28.56,1603324800.0,1
487,21.67,1603411200.0,1
488,33.75,1603497600.0,1
489,33.52,1603584000.0,1
490,33.33,1603670400.0,1
491,39.6,1603756800.0,1
492,42.96,1603843200.0,1
493,39.98,1603929600.0,1
494,42.93,1604016000.0,1
495,41.97,1604102400.0,1
496,40.39,1604188800.0,1
497,38.69,1604275200.0,1
498,42.13,1604361600.0,1
499,41.68,1604448000.0,1
500,43.5,1604534400.0,1
501,39.66,1604620800.0,1
502,153.18,1604707200.0,-1
503,208.21,1604793600.0,-1
504,139.5,1604880000.0,-1
505,48.17,1604966400.0,1
506,44.05,1605052800.0,1
507,36.31,1605139200.0,1
508,46.89,1605225600.0,1
509,42.58,1605312000.0,1
510,43.38,1605398400.0,1
511,43.07,1605484800.0,1
512,50.23,1605571200.0,1
513,43.32,1605657600.0,1
514,31.88,1605744000.0,1
515,32.63,1605830400.0,1
516,31.58,1605916800.0,1
517,43.69,1606003200.0,1
518,39.77,1606089600.0,1
519,35.56,1606348800.0,1
520,34.05,1606435200.0,1
521,35.59,1606521600.0,1
522,36.01,1606608000.0,1
523,35.21,1606694400.0,1
524,33.97,1606780800.0,1
525,32.03,1606867200.0,1
526,41.67,1606953600.0,1
527,32.71,1607040000.0,1
528,33.2,1607126400.0,1
529,31.89,1607212800.0,1
530,31.05,1607212800.0,1
531,31.89,1607299200.0,1
532,32.67,1607385600.0,1
533,34.14,1607472000.0,1
534,20.75,1607731200.0,1
535,0.01,1607817600.0,-1
536,1.64,1608076800.0,-1
537,26.47,1608163200.0,1
538,29.19,1608249600.0,1
539,85.79,1608336000.0,1
540,59.41,1608422400.0,1
541,0.17,1608508800.0,-1
542,6.23,1608595200.0,-1
543,16.98,1608681600.0,1
544,78.23,1609286400.0,1
545,67.24,1612915200.0,1
546,75.85,1617926400.0,1
547,88.46,1618963200.0,1
548,103.89,1619395200.0,1
549,240.09,1623024000.0,-1
550,64.12,1608854400.0,1
551,59.88,1608940800.0,1
552,53.33,1609027200.0,1
553,52.39,1609113600.0,1
554,80.55,1609200000.0,1
555,112.54,1609372800.0,1
556,94.48,1609459200.0,1
557,87.54,1609545600.0,1
558,101.28,1609632000.0,1
559,94.83,1609718400.0,1
560,102.66,1609804800.0,1
561,75.41,1609891200.0,1
562,90.19,1609977600.0,1
563,85.69,1610064000.0,1
564,85.68,1610150400.0,1
565,76.02,1610236800.0,1
566,84.44,1610323200.0,1
567,74.35,1610409600.0,1
568,86.25,1610496000.0,1
569,81.66,1610582400.0,1
570,80.43,1610668800.0,1
571,77.83,1610755200.0,1
572,76.66,1610841600.0,1
573,73.06,1610928000.0,1
574,73.48,1611014400.0,1
575,77.3,1611100800.0,1
576,85.68,1611187200.0,1
577,73.19,1611273600.0,1
578,79.02,1611360000.0,1
579,76.05,1611446400.0,1
580,88.61,1611532800.0,1
581,91.67,1611619200.0,1
582,79.33,1611705600.0,1
583,76.93,1611792000.0,1
584,73.89,1611878400.0,1
585,75.94,1611964800.0,1
586,76.4,1612051200.0,1
587,75.2,1612137600.0,1
588,76.1,1612224000.0,1
589,73.48,1612310400.0,1
590,75.55,1612396800.0,1
591,73.67,1612483200.0,1
592,73.19,1612569600.0,1
593,70.07,1612656000.0,1
594,62.72,1612742400.0,1
595,72.6,1612828800.0,1
596,66.85,1613001600.0,1
597,148.87,1613088000.0,-1
598,75.06,1613174400.0,1
599,70.01,1613260800.0,1
600,79.71,1613347200.0,1
601,71.31,1613433600.0,1
602,78.64,1613520000.0,1
603,105.96,1613606400.0,1
604,97.56,1613692800.0,1
605,82.14,1613779200.0,1
606,82.29,1613865600.0,1
607,64.63,1613952000.0,1
608,76.37,1614038400.0,1
609,81.94,1614124800.0,1
610,82.72,1614211200.0,1
611,83.75,1614297600.0,1
612,112.72,1614384000.0,1
613,71.04,1614470400.0,1
614,75.3,1614556800.0,1
615,79.08,1614643200.0,1
616,87.62,1614729600.0,1
617,90.51,1614816000.0,1
618,77.4,1614902400.0,1
619,73.7,1614988800.0,1
620,80.02,1615075200.0,1
621,72.12,1615161600.0,1
622,55.17,1615248000.0,1
623,73.64,1615334400.0,1
624,79.8,1615420800.0,1
625,79.63,1615507200.0,1
626,58.47,1615593600.0,1
627,77.42,1615680000.0,1
628,79.81,1615766400.0,1
629,65.71,1615852800.0,1
630,47.42,1615939200.0,1
631,69.05,1616025600.0,1
632,65.28,1616112000.0,1
633,65.87,1616198400.0,1
634,57.39,1616284800.0,1
635,58.8,1616371200.0,1
636,38.29,1616457600.0,1
637,5.02,1616544000.0,-1
638,5.0,1616630400.0,1
639,0.11,1616803200.0,-1
640,2.03,1616889600.0,1
641,7.66,1616976000.0,-1
642,9.06,1617062400.0,-1
643,5.58,1617148800.0,-1
644,22.44,1617235200.0,-1
645,113.99,1617321600.0,1
646,139.86,1617408000.0,-1
647,123.5,1617494400.0,1
648,87.46,1617580800.0,1
